--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
3169.580  000.052  000.052: sourcing /opt/homebrew/Cellar/neovim/HEAD-3fdc430/share/nvim/runtime/filetype.lua
3176.802  000.068  000.068: sourcing /opt/homebrew/Cellar/neovim/HEAD-3fdc430/share/nvim/runtime/syntax/synload.vim
3176.865  002.861  002.793: sourcing /opt/homebrew/Cellar/neovim/HEAD-3fdc430/share/nvim/runtime/syntax/syntax.vim
3176.878  004.877: inits 3
3183.084  006.205: reading ShaDa
3185.925  002.527  002.527: require('vim.filetype.detect')
3186.059  000.448: reading stdin
3186.076  000.017: opening buffers
3186.077  000.001: BufEnter autocommands
3186.079  000.002: editing files in windows
3186.108  000.029: --- NVIM STARTED ---

